timestamp,title,cve_ids,CVSS,Column4,risk_rating,exploitation_state,exploit_availability,detection,analyst comment,Refs,predicted_risk_rating,cisa_known_exploited
45729,Microsoft March Patch Tuesday: Windows exFAT File System Remote Code Execution Vulnerability,CVE-2025-21180,7.8,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-21180,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Azure Agent Installer for Backup and Site Recovery Elevation of Privilege Vulnerability,CVE-2025-21199,6.7,25,LOW,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-21199,MEDIUM,not available
45729,Microsoft March Patch Tuesday: MapUrlToZone Security Feature Bypass Vulnerability,CVE-2025-21247,4.3,25,LOW,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-21247,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Windows Remote Desktop Services Remote Code Execution Vulnerability,CVE-2025-24035,8.1,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24035,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Microsoft AutoUpdate (MAU) Elevation of Privilege Vulnerability,CVE-2025-24036,7,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24036,MEDIUM,not available
45729,Microsoft March Patch Tuesday: WinDbg Remote Code Execution Vulnerability,CVE-2025-24043,7.5,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24043,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Windows Win32 Kernel Subsystem Elevation of Privilege Vulnerability,CVE-2025-24044,7.8,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24044,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Windows Remote Desktop Services Remote Code Execution Vulnerability,CVE-2025-24045,8.1,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24045,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Kernel Streaming Service Driver Elevation of Privilege Vulnerability,CVE-2025-24046,7.8,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24046,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Windows Hyper-V Elevation of Privilege Vulnerability,CVE-2025-24048,7.8,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24048,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Azure Command Line Integration (CLI) Elevation of Privilege Vulnerability,CVE-2025-24049,8.4,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24049,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Windows Hyper-V Elevation of Privilege Vulnerability,CVE-2025-24050,7.8,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24050,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,CVE-2025-24051,8.8,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24051,MEDIUM,not available
45729,Microsoft March Patch Tuesday: NTLM Hash Disclosure Spoofing Vulnerability,CVE-2025-24054,6.5,25,LOW,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24054,LOW,not available
45729,Microsoft March Patch Tuesday: Windows USB Video Class System Driver Information Disclosure Vulnerability,CVE-2025-24055,4.3,25,LOW,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24055,LOW,not available
45729,Microsoft March Patch Tuesday: Windows Telephony Service Remote Code Execution Vulnerability,CVE-2025-24056,8.8,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24056,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Microsoft Office Remote Code Execution Vulnerability,CVE-2025-24057,7.8,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24057,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Windows Common Log File System Driver Elevation of Privilege Vulnerability,CVE-2025-24059,7.8,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24059,MEDIUM,not available
45729,Microsoft March Patch Tuesday: Windows Mark of the Web Security Feature Bypass Vulnerability,CVE-2025-24061,7.8,25,MEDIUM,No Known,not available,,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-24061,MEDIUM,not available
